iter	Passed	Remaining
0	7	1487
1	14	1448
2	21	1401
3	28	1383
4	35	1368
5	42	1373
6	50	1382
7	57	1375
8	64	1366
9	71	1356
10	78	1348
11	85	1335
12	92	1324
13	99	1316
14	105	1305
15	113	1305
16	120	1300
17	127	1290
18	134	1279
19	141	1273
20	148	1263
21	155	1259
22	162	1251
23	169	1245
24	176	1236
25	183	1226
26	190	1218
27	197	1210
28	205	1210
29	212	1206
30	219	1198
31	226	1190
32	233	1183
33	241	1180
34	248	1172
35	255	1164
36	262	1155
37	269	1146
38	275	1139
39	283	1135
40	290	1128
41	298	1123
42	305	1115
43	313	1109
44	319	1101
45	326	1093
46	334	1088
47	341	1081
48	348	1074
49	355	1066
50	362	1058
51	369	1052
52	377	1045
53	384	1038
54	390	1030
55	397	1022
56	404	1014
57	411	1006
58	417	998
59	424	990
60	431	984
61	438	976
62	445	968
63	452	960
64	459	955
65	466	947
66	475	943
67	481	935
68	489	928
69	497	923
70	503	915
71	512	910
72	519	904
73	528	899
74	535	891
75	543	886
76	550	879
77	556	871
78	563	863
79	570	855
80	577	848
81	584	840
82	591	833
83	597	825
84	605	819
85	613	812
86	620	806
87	627	798
88	635	792
89	641	784
90	648	776
91	656	770
92	663	763
93	670	756
94	677	749
95	685	742
96	692	735
97	699	727
98	706	720
99	712	712
100	719	705
101	726	697
102	734	691
103	741	684
104	747	676
105	754	669
106	761	661
107	768	654
108	776	647
109	783	640
110	791	634
111	799	628
112	806	621
113	813	613
114	820	606
115	829	600
116	837	593
117	844	587
118	852	580
119	859	572
120	866	565
121	872	558
122	880	550
123	886	543
124	893	536
125	900	528
126	908	522
127	915	514
128	922	507
129	929	500
130	936	493
131	944	486
132	952	479
133	959	472
134	967	465
135	974	458
136	981	451
137	989	444
138	995	437
139	1004	430
140	1010	423
141	1017	415
142	1026	409
143	1034	402
144	1041	395
145	1050	388
146	1057	381
147	1065	374
148	1072	366
149	1079	359
150	1086	352
151	1093	345
152	1100	338
153	1107	330
154	1115	323
155	1122	316
156	1130	309
157	1138	302
158	1145	295
159	1151	287
160	1159	280
161	1166	273
162	1172	266
163	1179	258
164	1187	251
165	1195	244
166	1202	237
167	1210	230
168	1217	223
169	1224	216
170	1231	208
171	1238	201
172	1245	194
173	1253	187
174	1260	180
175	1267	172
176	1274	165
177	1281	158
178	1288	151
179	1296	144
180	1304	136
181	1311	129
182	1318	122
183	1327	115
184	1335	108
185	1342	101
186	1350	93
187	1357	86
188	1365	79
189	1372	72
190	1379	64
191	1386	57
192	1392	50
193	1400	43
194	1407	36
195	1415	28
196	1422	21
197	1429	14
198	1438	7
199	1445	0
